number,domain,classification
1140,bulletbets.com,illegal
1141,loadsabingo.com,illegal
1142,www.bovada.lv,illegal
1143,www.mrplay.com,illegal
1144,csgoempire.com,illegal
1145,danskespil.dk,illegal
1146,lutrija.co.me,illegal
1147,www.potsofluck.com,illegal
1148,frankfred.com,illegal
1149,www.betpack.com,illegal
1150,betqs.com,illegal
1151,www.sbobet.com,illegal
1152,www.jack-21.com,illegal
1153,hpbet.com,illegal
1154,diegocasino.com,illegal
1155,www.hpbet.com,illegal
1156,www.costagames.com,illegal
1157,www.casinobitco.in,illegal
1158,www.norskespilleautomater.com,illegal
1201,www.casinointense-slots.com,illegal
1202,link2bet.com,illegal
1203,gtbets.eu,illegal
1204,www.americasbookie.com,illegal
1205,www.parasino.com,illegal
1206,tempobet.com,illegal
1207,casinoeuro.com,illegal
1208,www.carbonsports.ag,illegal
1209,www.2winbet.gr,illegal
1210,espnsportsbook.com,illegal
1211,playbet.com,illegal
1212,www.dhoze.com,illegal
1213,pokermax.com,illegal
1214,www.sportsbook.ca,illegal
1215,www.fanduel.com,illegal
1216,gossipbingo.com,illegal
1217,www.ohmbet.com,illegal
1218,slots.888wetten.de,illegal
1219,hellocasino.com,illegal
1220,www.wixstars.com,illegal
1221,www.betklass.com,illegal
1222,sirjackpot.com,illegal
1223,nitrogensports.eu,illegal
1224,goldmedalbingo.com,illegal
1225,www.betswar.com,illegal
1226,www.dantoto.dk,illegal
1227,markjarvisbet.com,illegal
1228,potsofluck.com,illegal
1229,fanfight.com,illegal
1230,bookmaker7.com,illegal
1231,ifortuna.cz,illegal
1232,cc898.com,illegal
1233,www.betbigdollar.com,illegal
1234,csgolounge.com,illegal
1235,www.coastalsportsbook.com,illegal
1236,www.seabet.com,illegal
1237,norsk-tipping.no,illegal
1238,bovada.lv,illegal
1239,bgo.com,illegal
1240,www.jumbabet.com,illegal
1241,duelz.com,illegal
1242,www.svedalacasino.com,illegal
1243,realdealbet.com,illegal
1244,cashmio.com,illegal
1245,efirbet.com,illegal
1246,www.scandibet.com,illegal
1247,www.724sports.com,illegal
1248,sportsspread.com,illegal
1249,csgoluckywheel.com,illegal
1250,zebrabet.com.au,illegal
1251,www.primecaptain.com,illegal
1252,www.betclock.com,illegal
1253,www.betplay.com,illegal
1254,lotto-thueringen.de,illegal
1255,pointcasino.com,illegal
1256,livebingo.com,illegal
1257,www.10bet.co.uk,illegal
1258,www.centrebet.com,illegal
1259,www.csgochips.com,illegal
1260,www.ibet789.com,illegal
1261,www.esportsbetting.com,illegal
1262,yakocasino.com,illegal
1263,www.livebetting.com,illegal
1264,barbadoscasino.com,illegal
1265,www.getabet.com,illegal
1266,www.snabbare.com,illegal
1267,spinstation.com,illegal
1268,www.sportsspread.com,illegal
1301,ibetcasino.com,illegal
1302,gamdom.com,illegal
1303,www.justcasino.com,illegal
1304,www.casinoeuro.com,illegal
1305,redkings.com,illegal
1306,www.yeticasino.com,illegal
1307,postcodeloterij.nl,illegal
1308,www.magicred.com,illegal
1309,180bets.com,illegal
1310,www.pokerstars.eu,illegal
1311,www.coolbet.com,illegal
1312,www.csgoace.com,illegal
1313,docbet.com,illegal
1314,hanplayer.com,illegal
1315,www.spinrider.com,illegal
1316,loonybingo.com,illegal
1317,betfirst-en.dhnet.be,illegal
1318,www.bamasportsbook.com,illegal
1319,www.nationallottery.co.za,illegal
1320,www.rush777.com,illegal
1321,sports.partypoker.com,illegal
1322,www.bettrojan.com,illegal
1323,omniacasino.com,illegal
1324,legolas.bet,illegal
1325,turbico.com,illegal
1326,bet365.com,illegal
1327,drueckglueck.com,illegal
1328,www.nationale-loterij.be,illegal
1329,www.luckycreek.com,illegal
1330,playsugarhouse.com,illegal
1331,www.actionbets.com,illegal
1332,888sport.com,illegal
1333,dlb.lk,illegal
1334,www.bgo.com,illegal
1335,www.mexicocasino.com,illegal
1336,sbobet.com,illegal
1337,www.lldj.com,illegal
1338,www.super8casino.com,illegal
1339,www.betus.com.pa,illegal
1340,nlotto.co.kr,illegal
1341,www.skinduel.com,illegal
1342,www.miamicasino.com,illegal
1343,nyspins.com,illegal
1344,csgospeed.com,illegal
1345,marathonbet.com,illegal
1346,mrslot.com,illegal
1347,www.ksbingo.com,illegal
1348,herobet.com.br,illegal
1349,gamerjackpot.com,illegal
1350,bettvs.com,illegal
1351,www.gamebookers.com,illegal
1352,csgo-raffle.com,illegal
1353,2betesi.com,illegal
1354,www.dadobet.com,illegal
1355,cupcakebingo.com,illegal
1401,www.betodds.ag,illegal
1402,online.singaporepools.com,illegal
1403,www.optionsports.com,illegal
1404,www.irisheyesbet.com,illegal
1405,www.nederlandseloterij.nl,illegal
1406,lowvig.ag,illegal
1407,veikkaus.fi,illegal
1408,alphadraft.com,illegal
1409,noaccountcasino.com,illegal
1410,superlenny.com,illegal
1411,www.12bet.com,illegal
1412,www.zebrabet.com.au,illegal
1413,www.casinostugan.com,illegal
1414,svedalacasino.com,illegal
1415,palmerbet.com,illegal
1416,www.topsport.com.au,illegal
1417,loterija.si,illegal
1418,www.lightbet.com,illegal
1419,ahacasino.com,illegal
1420,betamerica.com,illegal
1421,fun88.co.uk,illegal
1422,mrringo.com,illegal
1423,olg.ca,illegal
1424,casinotown.se,illegal
1425,www.bettropics.com,illegal
1426,bet2875.com,illegal
1427,expekt.com,illegal
1428,www.sirjackpot.com,illegal
1429,bet1128.com,illegal
1430,in.casinoeuro.com,illegal
1431,sloty.com,illegal
1432,majorbet.net,illegal
1433,www.90dakika.com,illegal
1434,promo.ladbrokes.com,illegal
1435,www.opcrates.com,illegal
1436,tabgold.co.za,illegal
1437,csgochance.com,illegal
1438,1stlines.com,illegal
1439,bigbetworld.com,illegal
1440,costagames.com,illegal
1441,www.ironbet.com,illegal
1442,22betpartners.com,illegal
1443,www.svenskaspel.se,illegal
1444,www.betusa.ag,illegal
1445,www.casino.org,illegal
1446,www.bet2875.com,illegal
1447,www.betstars.uk,illegal
1448,strikewin.com,illegal
1449,www.ahtigames.com,illegal
1450,www.betphoenix.ag,illegal
1451,www.vitalbet.com,illegal
1452,www.triobet.com,illegal
1453,www.jinglebingo.com,illegal
1454,www.10bet.com,illegal
1455,gentingcasino.com,illegal
1456,sportsbooks.com,illegal
1457,bola88.com,illegal
1458,www.sectorbet.com,illegal
1501,www.pokerstarscasino.uk,illegal
1502,www.justforbettors.com,illegal
1503,bookmaker.eu,illegal
1504,bet2290.com,illegal
1505,www.betextratime.com,illegal
1506,saturnplay.com,illegal
